2020-04-04 10:48:46.985 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-04-04 10:48:46.988 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Started RedisDemoApplication in 5.111 seconds (JVM running for 5.693)
2020-04-04 10:49:01.997 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-04 10:49:01.997 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-04 10:49:02.002 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 5 ms
2020-04-04 10:50:13.235 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-04 10:50:13.236 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-04-04 10:50:13.239 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-04-04 10:50:16.351 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Starting RedisDemoApplication on LiGangdeMacBook-Pro.local with PID 2073 (/Users/ligang/IdeaProjects/redis-demo-master/target/classes started by ligang in /Users/ligang/IdeaProjects/redis-demo-master)
2020-04-04 10:50:16.359 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - No active profile set, falling back to default profiles: default
2020-04-04 10:50:17.206 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-04-04 10:50:17.208 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-04-04 10:50:17.230 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 12ms. Found 0 Redis repository interfaces.
2020-04-04 10:50:17.603 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2020-04-04 10:50:17.608 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2020-04-04 10:50:17.609 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2020-04-04 10:50:17.609 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.33]
2020-04-04 10:50:17.659 [main] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2020-04-04 10:50:17.659 [main] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 1202 ms
2020-04-04 10:50:18.473 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} inited
2020-04-04 10:50:18.674 [main] INFO  io.lettuce.core.EpollProvider - Starting without optional epoll library
2020-04-04 10:50:18.675 [main] INFO  io.lettuce.core.KqueueProvider - Starting without optional kqueue library
2020-04-04 10:50:20.662 [main] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Initializing ExecutorService 'applicationTaskExecutor'
2020-04-04 10:50:21.389 [main] INFO  o.s.s.a.ScheduledAnnotationBeanPostProcessor - No TaskScheduler/ScheduledExecutorService bean found for scheduled processing
2020-04-04 10:50:21.395 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
2020-04-04 10:50:21.407 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
2020-04-04 10:50:21.410 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Started RedisDemoApplication in 5.508 seconds (JVM running for 5.92)
2020-04-04 10:50:56.054 [http-nio-8080-exec-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-04-04 10:50:56.054 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Initializing Servlet 'dispatcherServlet'
2020-04-04 10:50:56.061 [http-nio-8080-exec-1] INFO  org.springframework.web.servlet.DispatcherServlet - Completed initialization in 7 ms
2020-04-04 10:51:08.892 [SpringContextShutdownHook] INFO  o.s.scheduling.concurrent.ThreadPoolTaskExecutor - Shutting down ExecutorService 'applicationTaskExecutor'
2020-04-04 10:51:08.893 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closing ...
2020-04-04 10:51:08.896 [SpringContextShutdownHook] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1} closed
2020-04-04 10:51:11.737 [main] INFO  net.gaven.redisdemo.RedisDemoApplication - Starting RedisDemoApplication on LiGangdeMacBook-Pro.local with PID 2081 (/Users/ligang/IdeaProjects/redis-demo-master/target/classes started by ligang in /Users/ligang/IdeaProjects/redis-demo-master)
